id,reference,T5-small_summary,T5-small_r1_p,T5-small_r1_r,T5-small_r1_f,T5-small_r2_p,T5-small_r2_r,T5-small_r2_f,T5-small_rL_f,BART_summary,BART_r1_p,BART_r1_r,BART_r1_f,BART_r2_p,BART_r2_r,BART_r2_f,BART_rL_f
040ce133116f80d53a2a6333bf81fe07556ab93b,"The controversy over Indiana's religious freedom law is complicated .
Some factors you might have not considered .",Supporters of Indiana's religious freedom law say it is a copy of a federal law .<n>But the language in the federal and Indiana religious freedom laws are nearly indistinguishable .<n>The Indiana law expands the reach of the religious protections to include private companies .,0.1522,0.4118,0.2222,0.0889,0.25,0.1311,0.1905,The controversy over Indiana's religious freedom law is driving a wedge in the debate. Here are five things you might not have considered when thinking about this controversy.,0.4828,0.8235,0.6087,0.3214,0.5625,0.4091,0.5652
0459eda57f1de780a5908dcca96bd1169bafcaf0,"Six people taken hostage in a kosher market siege say media outlet endangered their lives .
They hid in a cold room during the attack in Paris by gunman Amedy Coulibaly .",The lawsuit was filed March 27 and a preliminary investigation was opened Wednesday .<n>CNN affiliate BFMTV is accused of endangering the lives of the hostages by broadcasting their location .,0.2333,0.2333,0.2333,0.0,0.0,0.0,0.1667,"Six survivors of the Paris kosher supermarket siege in January are suing a French media outlet. The media outlet, CNN affiliate BFMTV, is accused of endangering the lives of the hostages. Gunman Amedy Coulibaly stormed the Hyper Cacher Jewish supermarket on January 9.",0.3488,0.5,0.411,0.0714,0.1034,0.0845,0.3014
04c28c2d6c524d96e046cadf32eb44803f83a98c,"Police officers escort the funeral procession to the service .
Scott's family did not attend his visitation; they need privacy, mayor says .
Police meet with the man who was a passenger in his car when it was pulled over .","""Walter's death will not be in vain,"" says the head of the church .<n>Anthony Scott says his brother was selected as a candidate for change in America .",0.3448,0.2564,0.2941,0.0,0.0,0.0,0.2059,"Walter Scott was fatally shot in the back by a police officer last week. His funeral was open to the public Saturday in Summerville, South Carolina.",0.4615,0.3077,0.3692,0.08,0.0526,0.0635,0.1846
04e39f8e3fd4be33d74b3f6d4d6cfc62f3d3986b,"Police questioned the group about an alleged assault of a Walmart employee .
A man put a police officer in a headlock and fighting broke out .","Police release video of Walmart parking lot brawl that left one man dead .<n> Enoch Gaver, 21, was killed in the fight in the town of Cottonwood .",0.2593,0.28,0.2692,0.0,0.0,0.0,0.2308,"Enoch Gaver, 21, was killed in the fight in the town of Cottonwood, Arizona. Police Sergeant Jeremy Daniels was hit in the leg by a bullet fired during the melee.",0.2,0.24,0.2182,0.0,0.0,0.0,0.1818
0504db91916c64ada18e48f269607c91630929ed,"Paul McCartney honors Ringo Starr at Rock and Roll Hall of Fame induction ceremony .
Green Day, Lou Reed, Joan Jett & the Blackhearts also honored .","Ringo Starr is the final Beatle to be inducted as a solo act .<n>It was a night for the young to honor the old .<n>John Legend came out to honor Bill Withers with a performance of ""Use Me""",0.175,0.2917,0.2188,0.0256,0.0435,0.0323,0.1562,Ringo Starr is the final Beatle to be inducted as a solo act. John Legend came out to honor Bill Withers.,0.2381,0.2083,0.2222,0.05,0.0435,0.0465,0.1778
054ccc280767c3d59e7da55572425d2fdcb6e711,"Former TSA agent Daniel Boykin, 33, videotaped his female co-worker in the restroom, authorities say .
Authorities say they found 90 videos and 1,500 photos of the victim on Boykin's phone and computer .
Boykin worked in an administrative capacity and didn't do public security screenings, TSA official says .","A judge calls the invasion of privacy ""egregious""<n>Police found more than 90 videos and 1,500 photos of the victim on Daniel Boykin's phone and computer .",0.6207,0.3529,0.45,0.5,0.28,0.359,0.425,"Daniel Boykin, 33, entered the woman's home multiple times, where he took videos, photos and other data. Police found more than 90 videos and 1,500 photos of the victim on Boykin's phone and computer.",0.5676,0.4118,0.4773,0.4444,0.32,0.3721,0.4545
057854bbbc888a8607afd8a699533efc14d34be6,"There are now more people of faith who favor marriage equality than stand against it, according to a new poll .
If the U.S. Supreme Court has been paying attention, it likely saw this trend coming .","In 2003, less than 30% of religiously affiliated Americans supported same-sex marriage .<n>By 2014, that number had climbed to 47%, according to a survey conducted by the Public Religion Research Institute .",0.2121,0.1944,0.2029,0.0625,0.0571,0.0597,0.1739,"In 2003, less than 30% of religiously affiliated Americans supported gays' and lesbians' right to wed. By 2014, that number had climbed to 47%, according to a survey conducted by the Public Religion Research Institute.",0.1714,0.1667,0.169,0.0588,0.0571,0.058,0.1408
05ba1b21844a6c8664725b00e12232f8efae6bcb,"Robbers may have taken advantage of a four-day holiday weekend .
Estimates of the value of the items taken rage from hundreds of thousands of pounds to 200 million pounds .
The heist took place in a historic heart of London's jewelry business .","Hatton Garden is a storied area in London and the heart of the city's diamond trade .<n>Police offer few details of the robbery at Hatton Garden Safe Deposit Ltd.<n>Detectives on the scene are carrying out a ""slow and painstaking"" forensic examination .",0.2444,0.2558,0.25,0.0682,0.0714,0.0698,0.1591,"Hatton Garden Safe Deposit Ltd. was robbed over the Easter weekend, police say. About 60-70 safe deposit boxes were opened during the burglary, they say. Police are carrying out a ""slow and painstaking"" forensic examination.",0.1111,0.093,0.1013,0.0,0.0,0.0,0.0759
05cf349b0acd480c600238ba1c40b59a8aafc8b7,"Students stampeded; some jumped from a fifth story at a dorm; one student died, school officials say .
The blasts were caused by faulty electrical cable, and Kenya Power is at the school .
The panic came less than two weeks after terrorists attacked Kenya's Garissa University .","The explosion was caused by a faulty electrical cable, the university says .<n>As many as 108 students were admitted to the hospital .<n>Normal power supply will resume after repairs, the university says .",0.4412,0.3261,0.375,0.0909,0.0667,0.0769,0.25,"Students stampeded down halls of dormitory, some jumped from its fifth floor. Hundreds were injured and were taken to hospitals. Kenya Power authorities and its CEO are at the school and looking into the electrical issue.",0.4167,0.3261,0.3659,0.1714,0.1333,0.15,0.3415
05e0ff6226c6995c47f338969a48924c4e6edb94,"Former Yemeni President Ali Abdullah Saleh will leave, a source says .
Ousted leader Abdu Rabu Mansour Hadi promises to return .
Next phase, called ""Operation Renewal of Hope,"" will focus on political process .","Official: Houthis agree to ""nearly all demands"" of U.N. Security Council .<n>""Operation Renewal of Hope"" will focus on the political process .<n>Saudi Arabia had launched airstrikes on Houthi positions across Yemen .",0.2941,0.3125,0.303,0.2121,0.2258,0.2188,0.303,"""Operation Renewal of Hope"" will focus on the political process. Saudi Arabia had launched airstrikes on Houthi positions across Yemen. The Saudis say they want to restore the Yemeni government, a key U.S. ally.",0.3714,0.4062,0.3881,0.2059,0.2258,0.2154,0.2687
05e2fc1c692fdbe83cf0f83f6f50251345e9f3cd,"CNN team finds a man at ""unofficial"" displaced camp willing to provide children to be ""fostered""
He says he can't take money for them, but eventually demands $500 for two girls .","Nigeria has the highest number of people in modern slavery of any sub-Saharan country .<n>As insecurity in the region has spiraled, the worry is that more children are falling through the cracks .",0.0294,0.0312,0.0303,0.0,0.0,0.0,0.0303,Nigeria has the highest number of people in modern slavery of any sub-Saharan country. 8 million children are currently engaged in forced labor. Concerns are growing that orphaned children could end up in the hands of Boko Haram.,0.0256,0.0312,0.0282,0.0,0.0,0.0,0.0282
06006791fe162901fe9b71dd82f598defc986050,"As William and Kate await the arrival of their second child, speculation is rife as to what he or she will be named .
Royal expert Victoria Arbiter argues that naming a newborn princess after Diana would put too much pressure on her .","As the world awaits the impending birth of William and Kate's second baby, potential names have become the topic of rampant speculation .<n>If the assumptions are correct, she will be the first Princess of Cambridge born into the royal family in 182 years .",0.3333,0.3571,0.3448,0.1136,0.122,0.1176,0.2529,"As the world awaits the impending birth of William and Kate's second baby, potential names have become the topic of rampant speculation. Girls' names are causing the biggest stir, as there seems to be a belief that the couple are expecting a princess.",0.3864,0.4048,0.3953,0.0698,0.0732,0.0714,0.3023
060eca2f7301be29235f5aabb8ca6fbb2759df60,"Cartel violence helped make Juarez the murder capital of the world five years ago .
But the murder rate in the city has declined rapidly since 2010 .
Now city leaders are working to bring visitors and foreign investment back to Juarez .","Juarez, Mexico, was once known as the murder capital of the world .<n>Back in 2010, at the height of cartel violence, the city averaged 8.5 killings per day .<n>Five years later, local officials say the city is much safer .",0.4286,0.45,0.439,0.1951,0.2051,0.2,0.2683,"Ciudad Juarez, Mexico, was once known as the murder capital of the world. But five years later, local officials say the city is much safer. This month the city launched the tourism campaign ""Juarez is Waiting for You""",0.3947,0.375,0.3846,0.1892,0.1795,0.1842,0.3333
06b2d962f2177533fcfdbef63ae6f0873b4d1a01,"Officer Michael Rapiejko said he needed to use lethal force to stop the suspect .
Mario Valencia was carrying a rifle and fired one round into the air .
Rapiejko said two options crossed his mind and it was too far to shoot Valencia .","Officer Michael Rapiejko tells investigators he thought he was too far away to shoot suspect .<n>Police tape: ""I have two thoughts that go in my mind: I need to shoot him to stop the threat, or I need to run him over to stop the threat""",0.383,0.4286,0.4045,0.1739,0.1951,0.1839,0.2247,"Officer Michael Rapiejko ran his car into Mario Valencia in February as the suspect carried a rifle he had just fired in the air. Valencia, who flew through the air, survived and faces more than a dozen charges for an alleged crime spree.",0.4186,0.4286,0.4235,0.1667,0.1707,0.1687,0.2824
07f60889bcd1f3d2c48b715220f13df8d2c5e158,"Cape Verde seeking to tap-into rich cultural heritage .
Tiny island nation wants to grow creative economy .",Cape Verde is seeking to tap-into the spoils of its rich cultural heritage in a bid to help its economy flourish .<n>The former Portuguese territory was once a key location for the transatlantic slave trade .<n>One early musical success has been the Kriol Jazz Festival .,0.2292,0.6471,0.3385,0.1277,0.375,0.1905,0.3385,"Cape Verde is seeking to tap-into the spoils of this rich cultural heritage in a bid to help its economy flourish. The former Portuguese territory was once a key location for the transatlantic slave trade, a target for 16th century pirates and a refuge for exiled Jews.",0.2292,0.6471,0.3385,0.1277,0.375,0.1905,0.3385
0814a342a56d75da7853c273a1d69f7222f01846,"Kabul faces uncertain future as NATO presence -- and the money that came with it -- fades away .
Interpreters are out of work, NATO trucks sit idle on roads, restaurants are empty .","On Kabul's streets, you can easily find the uneasy legacy of America's longest war .<n>The skill they once thrived off has left them isolated, and fearing reprisals .<n>The U.S. Embassy and NATO declined to comment for this story .",0.1395,0.2,0.1644,0.0,0.0,0.0,0.1096,"On Kabul's streets, you can easily find the uneasy legacy of America's longest war. Vast supply chains once kept 120,000 troops fed and watered. Now the bases are gone, and the trucks that once supplied millions sit still.",0.2195,0.3,0.2535,0.025,0.0345,0.029,0.169
0827b4ec5a5fb314c852865ec57b3185e453e009,"This week's talks on an Iranian nuclear deal framework are historic .
The negotiations demonstrated diplomacy at its best, but also at its most hectic .
Reporters resorted to ambushes to talk to officials; negotiations were ""sometimes emotional and confrontational""",The site of these negotiations is also a gilded cage .<n>The Beau-Rivage Palace Hotel has been a backdrop to diplomatic events before .,0.1667,0.1026,0.127,0.0,0.0,0.0,0.127,The P5+1 reached a framework agreement with Iran over the country's nuclear program. The parties have until the end to June to work out the details and put the plan to paper.,0.2353,0.2051,0.2192,0.0,0.0,0.0,0.1644
08298a250150e63ce894a69a12fbfdda4c452fe4,"Rowing team at Washington University attacked by flying carp .
Member of the team caught the attack on video .","Asian carp swarm a lake during practice for Washington University's rowing team .<n>No one was injured, but the smell of fish lingered .",0.2917,0.3889,0.3333,0.087,0.1176,0.1,0.1905,"A swarm of Asian carp attacked the Washington University of rowing team. No one was injured, but the strong smell of fish lingered in the moments afterward.",0.3333,0.5,0.4,0.0769,0.1176,0.093,0.2222
083322cf7cca49a6d1c6cefb23206f5b22934b4f,"French investigators: Flight data recorder reveals Andreas Lubitz acted deliberately to crash plane .
He used autopilot to set altitude at 100 feet and then used the controls to speed up the descent .","""Work is continuing to establish the precise history of the flight,"" BEA says .<n>The flight data recorder was found Thursday by recovery teams .",0.25,0.1875,0.2143,0.087,0.0645,0.0741,0.1071,"The flight data recorder, or ""black box,"" was found Thursday by recovery teams. ""Work is continuing to establish the precise history of the flight,"" the BEA says.",0.2222,0.1875,0.2034,0.0769,0.0645,0.0702,0.2034
083b6c3239f969ae12491f14fc09b1f17d396983,"Footage shows a traffic stop and early interactions between Officer Michael Slager and Walter Scott .
The two men speak, and then Scott gets out of the car, running .
Slager, charged with murder, was fired from the North Charleston Police Department .",Attorney says Walter Scott might have been concerned about child support issues .<n>Witness who shot cell phone video says he never saw Scott try to get Officer Michael Slager's Taser .,0.2188,0.175,0.1944,0.0968,0.0769,0.0857,0.1389,"Dash cam video from Michael Slager's patrol car shows an initial traffic stop and interactions between the officer and Walter Scott. Scott exits his vehicle briefly, and Slager tells him to stay in the car. Scott then gets out of the car, again, and runs away.",0.5319,0.625,0.5747,0.2174,0.2564,0.2353,0.4138
08407e8a4629fcfbee9b3feb32574fb36e3f47c9,"A Boston-area dog ate three of her owner's wristwatches .
A veterinarian removed about 1 lb. of watch parts from her stomach .
Mocha the Doberman is now doing well .","The 5-year-old Doberman pincher ate three watch heads and some leather straps .<n>""It just looked like a Christmas tree and I almost threw up,"" owner says .",0.2414,0.2333,0.2373,0.0357,0.0345,0.0351,0.1017,"5-year-old Doberman ate watch heads, leather straps, screws, metal pieces. Owners took her to MSPCA's Angell Animal Medical Center, a 24-hour emergency and specialty hospital. Veterinarians removed ""about a pound of leather straps and metal pieces and detritus""",0.2857,0.4,0.3333,0.0488,0.069,0.0571,0.2222
08a4d0036ff55125a429e10d29e44989d239d23d,"This week, Turkey was gripped by a massive power outage and a deadly hostage crisis .
Reactions reveal contemporary Turkey is tense and confused after years of political crises .
Censorship has pushed critics to fringes in country cited as democratic model for Mideast .","Dozens of cities across Turkey lost power for hours on Tuesday .<n>Millions of people were affected, including passengers stranded on paralyzed trains and subways .",0.2,0.119,0.1493,0.0,0.0,0.0,0.0896,Millions of Turks were left confused and concerned by the worst power outage to grip the country in more than a decade. The mysterious collapse of much of the country's energy grid triggered a burst of wild conspiracy theories.,0.3,0.2857,0.2927,0.0256,0.0244,0.025,0.1463
08b39dff66d75c67fd9553ce2e270602d3e9fe53,"Al Qaeda fighters attack a prison and other government buildings, freeing many prisoners .
Government troops clash with the fighters, most of whom flee .
Yemen is descending into chaos as a Shia-Sunni conflict draws in regional rivals Saudi Arabia and Iran .","Al Qaeda fighters attack a prison in the Yemeni city of Al Mukallah .<n>At least 270 prisoners are freed, a third of whom have al Qaeda links .",0.4286,0.2927,0.3478,0.2222,0.15,0.1791,0.2609,"Al Qaeda fighters attack a prison in the coastal Yemeni city of Al Mukallah. At least 270 prisoners, a third of whom have al Qaeda links, are freed, officials say.",0.4,0.2927,0.338,0.2069,0.15,0.1739,0.2535
08d2f92e29babb138b2a865506949f4a75aa44b8,"Ines Dumig's photo series ""Apart Together"" follows a Somali refugee living in Germany .
The underlying themes include isolation and ""otherness"" and the search for human dignity .","Somali refugee Sahra is the focus of Ines Dumig's photo series ""Apart Together""<n>Dumig met Sahra through a photo workshop at Refugio, a shelter in Munich, Germany .<n>The number of refugees seeking asylum in the EU increased by 25% last year .",0.3182,0.5185,0.3944,0.1628,0.2692,0.2029,0.338,"Ines Dumig's photo series ""Apart Together"" features Somali refugee Sahra. Dumig: ""I want to universalize (Sahra's) story as well, not only make it about her""",0.3333,0.3333,0.3333,0.2692,0.2692,0.2692,0.3333
08ffdfdcd9c6a88aa6dc00aecd5003209e0bb894,"Ten physicians across the country have banded together to tell Columbia they think having Oz on faculty is unacceptable .
Radiology professor says that he just wants Oz to ""follow the basic rules of science""
TV's ""Dr. Oz"" holds a faculty position at Columbia University's College of Physicians and Surgeons .",Talk show host Dr. Mehmet Oz is on the faculty at Columbia University .<n>A group of 10 doctors sent a letter to Columbia expressing disapproval .,0.5,0.2549,0.3377,0.08,0.04,0.0533,0.2078,"A group of 10 doctors emailed a letter to Columbia University expressing disapproval that Mehmet Oz is on the faculty. They accuse Oz of ""manifesting an egregious lack of integrity by promoting quack treatments and cures in the interest of personal financial gain""",0.3721,0.3137,0.3404,0.0238,0.02,0.0217,0.1915
